Manufacturer,Model,Type,Min.Price,Price,Max.Price,MPG.city,MPG.highway,AirBags,RPM,EngineSize
Hyundai,Model_47,Small,25.7,11.4,30.2,31,28,Driver & Passenger,5794,4.1
Lexus,Model_48,Sport,16.2,15.2,35.1,31,35,None,5814,2.8
Chevrolet,Model_49,SUV,28.1,44.9,39.5,34,43,Driver only,6376,1.9
Subaru,Model_50,Compact,43.5,44.0,29.0,24,21,Driver & Passenger,4032,4.8
Audi,Model_51,Sport,30.0,37.2,27.5,26,30,None,4831,2.9
Honda,Model_52,Van,8.9,19.4,51.1,26,43,Driver & Passenger,6443,2.5
Hyundai,Model_53,Midsize,10.7,43.3,15.5,29,38,Driver & Passenger,4281,4.9
Chevrolet,Model_54,SUV,44.7,28.4,28.6,23,23,None,4138,1.5
Nissan,Model_55,Small,11.1,33.0,46.6,32,22,Driver only,6002,3.4
Chevrolet,Model_56,SUV,10.2,50.4,23.1,30,34,Driver & Passenger,4452,4.0
Audi,Model_57,Large,21.4,30.6,42.3,21,27,Driver & Passenger,5250,4.8
Nissan,Model_58,Sport,43.9,38.2,28.0,28,23,Driver & Passenger,6397,4.3
Hyundai,Model_59,Large,20.1,53.3,56.7,18,30,Driver & Passenger,4530,2.2
Audi,Model_60,Van,23.5,30.3,30.5,17,36,Driver & Passenger,5733,2.0
Ford,Model_61,Small,31.6,35.2,24.2,26,28,Driver only,5335,1.4
Honda,Model_62,Sport,9.4,36.3,40.1,30,44,None,4108,1.7
Hyundai,Model_63,Van,41.3,20.8,19.2,18,20,Driver only,4722,3.9
Subaru,Model_64,Large,27.5,43.2,54.3,18,27,Driver & Passenger,4498,2.2
Lexus,Model_65,Large,25.5,42.7,48.0,17,21,Driver & Passenger,6104,2.8
Ford,Model_66,Sport,39.9,19.6,52.8,23,42,None,5118,3.8
Kia,Model_67,Small,43.3,10.6,33.1,28,32,Driver & Passenger,4633,3.7
Hyundai,Model_68,Large,24.0,55.0,56.3,26,20,None,5515,4.2
Kia,Model_69,Midsize,14.8,36.2,38.2,24,41,Driver & Passenger,5802,1.2
Nissan,Model_70,Van,38.3,18.1,17.0,28,29,Driver & Passenger,5982,3.3
Ford,Model_71,Sport,23.2,22.8,23.9,26,31,Driver & Passenger,6301,4.6
Honda,Model_72,Compact,42.6,37.8,49.7,26,46,Driver & Passenger,6192,2.5
Subaru,Model_73,Compact,43.2,16.2,59.5,16,30,Driver & Passenger,4965,1.8
Hyundai,Model_74,Small,12.7,11.7,17.0,33,29,None,6215,1.3
Subaru,Model_75,Midsize,43.4,45.9,57.8,27,33,None,6186,4.8
Audi,Model_76,Large,21.9,42.2,54.4,24,33,Driver only,6425,1.0
Subaru,Model_77,Compact,32.1,23.9,30.9,37,27,Driver & Passenger,4268,4.2
Mercedes-Benz,Model_78,Small,9.8,12.6,48.5,35,30,Driver & Passenger,4336,2.1
Mazda,Model_79,Van,40.9,31.9,21.9,15,41,Driver & Passenger,5051,2.0
Hyundai,Model_80,Midsize,31.9,22.4,55.1,15,28,Driver & Passenger,5179,1.6
Chevrolet,Model_81,Midsize,32.0,27.9,46.8,22,34,Driver & Passenger,5827,1.8
Lexus,Model_82,SUV,41.4,22.3,35.3,20,46,Driver & Passenger,5191,3.1
Toyota,Model_83,Small,27.1,17.9,57.8,34,20,Driver & Passenger,4230,4.5
Honda,Model_84,Small,23.5,27.4,19.4,17,44,Driver & Passenger,5255,2.5
Ford,Model_85,SUV,40.1,53.4,56.8,27,38,Driver & Passenger,4352,4.0
Mazda,Model_86,Large,35.6,22.0,13.3,26,37,Driver & Passenger,4204,2.0
Honda,Model_87,Small,43.1,25.1,51.9,34,31,Driver & Passenger,5786,4.6
Ford,Model_88,SUV,42.8,24.8,42.4,30,27,None,6431,4.7
Lexus,Model_89,Large,22.5,31.6,48.9,25,45,Driver & Passenger,6372,1.4
BMW,Model_90,Large,24.8,48.0,33.9,18,24,Driver & Passenger,6117,4.4
BMW,Model_91,Sport,17.8,28.1,57.8,22,32,Driver & Passenger,4561,3.8
Kia,Model_92,Midsize,32.6,46.3,28.6,21,36,Driver & Passenger,5887,2.6
Honda,Model_93,Van,21.8,15.2,26.6,30,20,None,4175,4.3
BMW,Model_94,Midsize,37.2,50.3,28.0,26,21,None,4720,4.6
Mercedes-Benz,Model_95,Midsize,12.9,18.3,53.0,20,26,Driver & Passenger,4392,3.0
Hyundai,Model_96,Sport,12.7,11.8,38.3,37,21,None,4244,3.0
Ford,Model_97,Large,16.0,17.1,40.5,20,44,Driver & Passenger,4935,3.8
Kia,Model_98,Large,11.6,18.6,56.1,25,41,Driver & Passenger,4129,2.0
Subaru,Model_99,Small,31.1,32.9,56.2,26,23,Driver & Passenger,5682,1.3
Ford,Model_100,Sport,13.9,30.2,20.6,30,47,None,4608,3.1
Kia,Model_101,Small,14.3,42.2,41.1,36,32,Driver & Passenger,4672,2.3
Lexus,Model_102,Sport,9.0,12.3,18.7,30,33,Driver & Passenger,5908,1.5
Honda,Model_103,Small,37.0,32.4,58.0,37,39,Driver & Passenger,4503,1.6
Lexus,Model_104,Compact,38.1,25.0,56.4,30,22,None,4748,1.9
Hyundai,Model_105,SUV,14.4,38.4,57.0,18,28,Driver & Passenger,5852,2.4
Hyundai,Model_106,Midsize,35.5,12.0,49.4,26,37,Driver & Passenger,5140,2.7
Mazda,Model_107,Midsize,24.3,11.6,36.7,19,44,Driver & Passenger,5937,4.8
Lexus,Model_108,Van,17.2,29.2,33.5,23,35,Driver & Passenger,4897,2.9
Audi,Model_109,SUV,31.2,46.5,32.9,32,38,Driver & Passenger,6050,4.7
Subaru,Model_110,Large,15.0,40.2,15.5,23,39,Driver only,4901,3.2
Hyundai,Model_111,Van,36.1,10.8,62.3,30,28,None,5356,1.6
Lexus,Model_112,Compact,10.2,18.0,35.9,35,38,Driver only,5363,4.4
Mazda,Model_113,Van,43.5,20.2,61.3,15,25,Driver & Passenger,6207,1.1
Nissan,Model_114,Midsize,11.1,29.0,58.6,37,31,Driver & Passenger,4894,3.3
Mercedes-Benz,Model_115,Large,29.6,36.4,55.9,19,34,Driver & Passenger,4827,2.4
Ford,Model_116,Compact,41.4,19.7,43.2,33,40,Driver & Passenger,6114,2.8
Hyundai,Model_117,Midsize,8.9,27.2,17.4,17,25,Driver & Passenger,5973,4.2
Nissan,Model_118,SUV,26.7,36.3,29.2,15,24,Driver & Passenger,5118,1.0
Mazda,Model_119,Small,21.3,27.3,44.0,37,33,Driver & Passenger,5742,1.7
Kia,Model_120,Sport,29.7,16.4,12.7,28,46,Driver only,4240,4.3
Hyundai,Model_121,Compact,16.7,32.1,14.3,32,38,None,5850,3.2
Subaru,Model_122,Large,10.9,24.6,47.9,22,37,Driver & Passenger,6462,2.0
Subaru,Model_123,Van,31.3,48.9,59.1,28,45,Driver only,6268,3.0
Subaru,Model_124,SUV,23.7,44.9,57.3,34,32,Driver only,4714,2.6
Mercedes-Benz,Model_125,Van,31.2,18.6,20.9,34,28,None,5063,4.1
Hyundai,Model_126,Compact,16.2,16.9,60.3,27,39,Driver only,5543,4.0
Mercedes-Benz,Model_127,SUV,20.9,25.6,48.9,35,45,None,6239,2.9
Hyundai,Model_128,Large,29.0,28.5,50.0,30,47,Driver only,4424,2.1
Mercedes-Benz,Model_129,Compact,30.1,51.9,28.1,23,41,Driver & Passenger,5537,1.0
Toyota,Model_130,Large,22.1,23.6,49.9,21,44,Driver & Passenger,5200,2.9
Hyundai,Model_131,Van,18.7,49.0,49.6,17,40,None,5294,3.4
Audi,Model_132,Midsize,18.5,32.7,43.5,34,26,Driver & Passenger,6044,3.4
Hyundai,Model_133,SUV,14.9,49.9,30.9,15,47,Driver & Passenger,4892,4.5
Mazda,Model_134,Small,20.4,41.6,55.0,22,40,Driver only,4433,2.9
Toyota,Model_135,Midsize,15.8,41.9,61.7,28,31,Driver & Passenger,5965,3.9
Subaru,Model_136,Small,31.6,33.3,58.1,27,28,Driver only,5537,1.5
Mazda,Model_137,Van,29.3,47.8,24.9,21,21,Driver & Passenger,4668,4.1
Mazda,Model_138,SUV,22.5,21.4,35.6,27,22,Driver & Passenger,5913,2.8
Hyundai,Model_139,Midsize,20.4,50.8,30.1,36,24,Driver & Passenger,6127,3.8
Volkswagen,Model_140,Midsize,17.2,38.7,49.5,21,37,Driver & Passenger,4370,4.3
Chevrolet,Model_141,Compact,28.0,29.7,56.1,34,47,Driver & Passenger,5118,2.0
Toyota,Model_142,Sport,42.0,54.2,23.4,34,33,Driver only,5212,3.7
Mazda,Model_143,Van,33.5,48.8,62.2,19,41,Driver only,4864,1.5
Chevrolet,Model_144,Large,35.7,44.7,47.9,18,45,Driver & Passenger,4121,1.4
Chevrolet,Model_145,Van,39.0,22.3,23.6,18,38,Driver & Passenger,4833,2.1
Toyota,Model_146,Large,21.3,53.8,31.7,20,40,Driver & Passenger,6307,1.5
Volkswagen,Model_147,SUV,10.8,43.4,17.5,28,24,Driver & Passenger,6308,2.8
Nissan,Model_148,Large,31.2,37.2,43.6,17,29,None,4556,4.5
Kia,Model_149,Small,15.4,51.5,21.0,17,35,None,5287,1.3
Audi,Model_150,Large,29.3,17.3,48.7,17,43,Driver & Passenger,5841,2.5
Kia,Model_151,Large,35.5,16.3,51.1,18,44,Driver & Passenger,4547,1.8
Hyundai,Model_152,Compact,37.1,35.4,37.4,36,39,Driver & Passenger,5861,2.8
Subaru,Model_153,Midsize,19.5,12.6,17.0,23,45,Driver only,5033,3.5
Audi,Model_154,Van,27.2,39.9,44.4,36,20,Driver & Passenger,4803,4.4
Hyundai,Model_155,Van,31.2,20.8,31.7,30,40,Driver only,5859,1.1
Mazda,Model_156,SUV,38.4,15.4,62.3,33,23,Driver & Passenger,4102,3.3
Subaru,Model_157,SUV,36.3,28.4,39.2,30,24,None,5134,3.8
Ford,Model_158,Large,44.6,31.0,15.8,26,30,Driver & Passenger,4532,1.5
Toyota,Model_159,Sport,8.8,17.7,45.7,20,33,Driver only,4500,4.8
Audi,Model_160,Van,24.5,11.9,53.3,34,44,Driver & Passenger,5228,1.3
Audi,Model_161,SUV,17.8,28.6,20.5,35,43,Driver & Passenger,4096,2.3
Lexus,Model_162,Large,12.9,44.2,35.8,35,46,Driver & Passenger,4821,2.0
Mazda,Model_163,SUV,41.8,49.3,51.4,17,30,None,6444,1.3
Nissan,Model_164,Small,44.9,14.4,13.1,35,46,Driver & Passenger,4561,3.8
Chevrolet,Model_165,Small,15.1,33.6,13.5,19,43,Driver & Passenger,5387,3.0
Subaru,Model_166,SUV,9.9,21.9,47.9,21,27,Driver & Passenger,6304,2.7
Mazda,Model_167,Small,18.5,26.9,50.4,19,20,Driver & Passenger,4204,1.8
BMW,Model_168,SUV,39.0,52.0,56.8,23,47,Driver & Passenger,5365,2.8
Volkswagen,Model_169,Large,19.2,25.8,33.2,29,26,Driver & Passenger,5996,4.6
Chevrolet,Model_170,Compact,10.6,26.4,32.7,35,32,Driver only,4191,2.4
Toyota,Model_171,Sport,10.4,19.4,41.3,34,39,Driver & Passenger,5826,3.0
Chevrolet,Model_172,Large,24.1,53.2,52.1,20,25,Driver only,5147,4.7
Nissan,Model_173,Compact,42.5,30.5,46.0,22,23,Driver only,6240,3.8
Hyundai,Model_174,Compact,18.9,35.7,29.3,34,31,Driver & Passenger,6285,1.2
Lexus,Model_175,Van,24.1,30.4,30.4,19,24,Driver & Passenger,5271,2.3
Chevrolet,Model_176,Large,12.2,21.4,52.4,31,24,Driver only,5844,4.9
Toyota,Model_177,Large,26.5,46.5,40.3,24,36,None,4224,4.5
Nissan,Model_178,SUV,33.9,11.3,17.2,15,25,Driver & Passenger,4772,4.5
Kia,Model_179,Compact,18.4,41.1,20.1,30,29,Driver & Passenger,5245,4.7
Audi,Model_180,Compact,19.3,36.7,57.1,37,35,Driver only,5624,3.5
Hyundai,Model_181,Compact,39.2,16.5,64.9,35,43,None,5995,4.1
Lexus,Model_182,SUV,8.9,17.5,29.8,15,40,Driver & Passenger,4056,3.6
Audi,Model_183,Van,31.7,39.7,32.5,17,33,None,4519,3.1
Volkswagen,Model_184,Large,22.9,24.0,20.2,20,29,None,5425,3.1
Hyundai,Model_185,Compact,19.4,22.0,24.5,31,47,Driver & Passenger,4872,1.1
Hyundai,Model_186,Small,32.5,12.7,34.5,36,41,Driver & Passenger,6442,1.9
Hyundai,Model_187,Large,39.0,44.5,27.1,16,40,Driver & Passenger,4957,1.1
Kia,Model_188,SUV,28.9,49.7,49.2,19,36,Driver & Passenger,4157,2.8
Kia,Model_189,Van,9.6,46.9,40.5,25,24,Driver & Passenger,6174,3.9
Subaru,Model_190,Small,25.3,31.0,55.6,24,21,Driver & Passenger,4236,4.8
Mercedes-Benz,Model_191,SUV,25.4,34.0,50.4,29,23,Driver & Passenger,4332,1.1
Chevrolet,Model_192,Midsize,28.3,20.9,18.8,32,37,Driver & Passenger,4624,3.0
Hyundai,Model_193,Large,33.0,17.8,18.5,31,27,Driver & Passenger,5567,3.8
Audi,Model_194,Midsize,9.2,47.0,59.5,28,33,Driver & Passenger,4909,3.7
Toyota,Model_195,SUV,26.8,45.9,55.4,27,32,None,5960,4.0
Honda,Model_196,SUV,30.0,45.0,36.8,34,26,Driver only,6165,4.4
Mercedes-Benz,Model_197,SUV,21.0,30.9,18.9,16,28,Driver only,5345,4.7
Honda,Model_198,Compact,32.9,48.9,59.6,26,23,Driver & Passenger,5385,1.7
Lexus,Model_199,Van,16.8,51.7,24.2,25,24,Driver & Passenger,4815,4.8
Nissan,Model_200,Compact,20.1,24.8,13.9,33,34,Driver only,5253,4.2
Audi,Model_201,Van,43.6,20.1,61.0,26,28,Driver & Passenger,6468,4.6
Audi,Model_202,Sport,21.2,30.9,54.9,18,44,Driver & Passenger,5420,2.4
Mercedes-Benz,Model_203,Compact,21.1,18.1,48.8,24,37,Driver & Passenger,4809,5.0
Hyundai,Model_204,Midsize,30.2,49.8,13.8,26,47,Driver & Passenger,6458,1.0
Volkswagen,Model_205,Van,43.9,25.2,40.0,21,46,Driver & Passenger,4321,4.5
Mercedes-Benz,Model_206,Compact,44.4,35.9,46.6,37,33,None,4302,3.7
Honda,Model_207,Large,29.7,36.8,52.2,20,34,None,4843,1.6
Mercedes-Benz,Model_208,SUV,8.5,33.2,37.0,22,20,Driver & Passenger,6498,4.3
Audi,Model_209,Van,41.4,17.0,62.5,25,38,None,4410,4.2
Volkswagen,Model_210,Van,29.3,54.6,25.0,20,45,Driver & Passenger,6156,3.2
Chevrolet,Model_211,Compact,21.9,17.8,15.7,35,20,Driver & Passenger,5150,3.5
BMW,Model_212,Sport,38.8,43.8,29.6,17,25,None,4823,1.5
Subaru,Model_213,Compact,23.1,45.6,47.1,35,27,None,6218,2.8
Ford,Model_214,Midsize,9.7,16.5,51.1,34,23,None,5909,1.2
Kia,Model_215,Midsize,38.5,52.0,51.1,33,35,Driver & Passenger,6386,3.3
Mercedes-Benz,Model_216,Van,28.4,31.9,17.9,15,30,None,5875,2.8
Lexus,Model_217,Van,20.8,38.3,58.9,18,23,Driver & Passenger,4058,1.3
Hyundai,Model_218,Compact,17.7,38.9,26.9,33,30,Driver & Passenger,6006,2.6
Nissan,Model_219,Midsize,30.2,32.7,23.1,34,29,None,4506,2.8
BMW,Model_220,Midsize,16.1,16.4,44.6,31,36,None,4668,4.0
Subaru,Model_221,Sport,20.3,43.8,23.2,36,28,Driver only,6495,1.2
Subaru,Model_222,Large,31.7,36.2,38.9,33,29,None,5578,3.5
Subaru,Model_223,Sport,40.7,15.3,33.6,28,27,Driver & Passenger,5601,3.1
Subaru,Model_224,Small,28.0,41.5,24.3,24,33,Driver & Passenger,5157,2.1
Honda,Model_225,SUV,36.2,41.6,27.5,35,32,Driver & Passenger,4212,4.0
Lexus,Model_226,Sport,36.4,34.7,34.7,23,22,None,6146,3.3
Lexus,Model_227,Compact,32.7,14.1,30.3,30,33,Driver & Passenger,5072,3.1
Volkswagen,Model_228,Large,17.5,25.9,32.2,29,33,Driver & Passenger,6222,4.8
Kia,Model_229,Compact,40.1,12.3,51.0,30,22,Driver & Passenger,5537,4.3
Audi,Model_230,SUV,24.4,31.5,20.9,32,35,Driver only,4900,1.8
Subaru,Model_231,Small,10.1,50.8,45.3,35,29,Driver & Passenger,4804,2.6
Hyundai,Model_232,Large,17.4,10.1,47.9,37,23,Driver only,5029,3.7
Audi,Model_233,Van,36.4,22.0,54.5,37,39,None,4527,3.2
Lexus,Model_234,Midsize,11.0,46.0,56.9,24,37,Driver & Passenger,5739,2.7
Toyota,Model_235,Sport,13.9,10.4,20.4,17,23,Driver only,4727,4.9
Toyota,Model_236,Compact,33.8,10.5,19.3,21,21,Driver & Passenger,6120,1.7
Hyundai,Model_237,Small,41.1,37.5,44.6,21,30,Driver & Passenger,6114,2.4
Volkswagen,Model_238,Midsize,31.6,45.5,52.1,34,34,Driver & Passenger,4592,2.6
Lexus,Model_239,Sport,16.6,44.9,26.4,25,30,None,5565,1.3
Hyundai,Model_240,Midsize,10.4,45.1,39.9,37,42,None,6074,2.9
Honda,Model_241,Sport,31.0,26.2,52.9,17,40,None,4433,3.1
Mercedes-Benz,Model_242,Van,10.2,49.7,52.7,32,42,None,5679,2.1
Hyundai,Model_243,Large,30.9,10.6,46.7,26,25,None,6103,4.8
Chevrolet,Model_244,Midsize,16.7,24.0,16.2,37,37,None,4266,3.1
Audi,Model_245,Midsize,41.5,25.2,14.7,31,47,Driver & Passenger,5570,3.3
BMW,Model_246,Midsize,25.8,17.5,32.6,23,37,None,5202,4.6
Mazda,Model_247,Large,16.7,25.1,13.4,19,20,Driver & Passenger,5606,2.1
Volkswagen,Model_248,Small,39.6,36.4,59.9,32,32,None,6148,3.5
Hyundai,Model_249,Sport,17.8,33.4,13.1,37,20,Driver & Passenger,5300,2.8
Lexus,Model_250,Van,19.7,24.4,13.6,23,32,Driver only,4467,2.5
Nissan,Model_251,Midsize,39.0,43.7,20.8,27,40,None,5540,2.5
Toyota,Model_252,SUV,19.8,42.2,45.2,17,24,Driver only,6070,1.1
Chevrolet,Model_253,Large,23.5,22.6,40.7,18,42,Driver & Passenger,4696,4.3
Kia,Model_254,Small,21.2,24.5,47.0,32,36,Driver only,4326,3.3
Subaru,Model_255,Sport,12.7,22.9,59.4,34,35,Driver & Passenger,4658,4.7
Mazda,Model_256,Large,9.9,15.8,36.1,35,40,Driver only,5793,4.4
Hyundai,Model_257,Van,34.9,43.9,14.3,29,37,None,5961,4.9
Volkswagen,Model_258,Van,32.0,12.1,52.5,34,29,Driver only,4536,1.1
BMW,Model_259,Sport,18.8,16.8,55.0,37,36,Driver & Passenger,6427,3.6
Mazda,Model_260,Midsize,19.3,14.7,14.6,20,26,Driver & Passenger,5967,4.8
Hyundai,Model_261,Van,43.0,47.1,24.9,23,34,None,6026,4.1
Honda,Model_262,Small,44.5,12.0,52.8,25,38,None,4849,2.3
Toyota,Model_263,Large,25.8,39.9,31.9,27,46,Driver & Passenger,6173,1.5
Lexus,Model_264,Small,37.8,12.0,37.1,18,28,Driver & Passenger,5694,3.7
Toyota,Model_265,Midsize,35.4,45.4,55.6,29,40,Driver & Passenger,4441,3.6
Kia,Model_266,Small,19.4,51.1,17.0,31,40,None,4828,2.2
Honda,Model_267,Small,10.6,31.9,47.9,26,24,None,6091,4.2
Subaru,Model_268,Compact,13.7,46.2,23.4,20,44,None,5382,3.5
Lexus,Model_269,Small,39.1,41.8,15.3,21,29,None,4198,2.7
Audi,Model_270,Sport,35.2,45.8,47.1,31,32,Driver & Passenger,5676,2.9
Ford,Model_271,Large,32.7,44.5,18.4,25,20,Driver & Passenger,5747,2.0
Chevrolet,Model_272,Compact,13.3,19.2,51.6,26,40,Driver & Passenger,4652,3.2
Toyota,Model_273,Large,31.9,32.5,22.7,27,45,None,4307,3.0
Nissan,Model_274,Large,36.7,53.2,14.6,15,25,Driver only,4473,4.8
Toyota,Model_275,Midsize,39.9,25.5,17.3,32,44,Driver & Passenger,6283,3.0
Mazda,Model_276,Midsize,9.0,53.7,56.6,36,22,Driver & Passenger,6272,4.1
Toyota,Model_277,Compact,33.5,36.2,31.7,33,36,Driver & Passenger,4359,3.5
Volkswagen,Model_278,Van,9.2,30.8,28.0,25,31,Driver & Passenger,6471,1.9
Toyota,Model_279,SUV,34.3,39.6,38.0,36,46,None,5014,1.2
Ford,Model_280,Midsize,31.7,46.7,45.5,32,30,Driver & Passenger,4666,3.8
Ford,Model_281,SUV,13.9,27.7,14.0,24,27,Driver & Passenger,6382,4.2
Subaru,Model_282,Midsize,36.5,11.5,59.6,20,44,Driver & Passenger,4898,4.5
BMW,Model_283,Midsize,11.0,41.9,62.8,37,31,Driver & Passenger,6142,3.7
Audi,Model_284,Large,38.7,53.0,34.1,36,30,Driver & Passenger,4314,2.7
Nissan,Model_285,Compact,18.1,38.1,33.9,16,41,Driver only,4487,3.0
Toyota,Model_286,Large,33.6,18.5,58.6,19,24,None,5398,4.0
Toyota,Model_287,Sport,42.2,21.2,34.8,24,47,Driver & Passenger,5041,1.7
Chevrolet,Model_288,Large,20.9,50.9,57.4,29,27,None,4686,2.8
Lexus,Model_289,SUV,26.9,10.6,13.5,28,31,Driver & Passenger,5991,1.2
Ford,Model_290,SUV,25.4,34.7,38.0,20,41,Driver & Passenger,6268,1.4
Nissan,Model_291,Sport,14.3,17.1,62.5,28,25,Driver & Passenger,5444,1.9
Subaru,Model_292,Small,30.0,22.7,25.4,35,28,Driver & Passenger,4036,3.5
Kia,Model_293,Small,35.6,23.8,26.1,28,44,Driver only,5964,4.7
BMW,Model_294,Sport,42.0,19.9,45.4,26,36,Driver only,5767,2.5
Audi,Model_295,Sport,39.6,45.7,61.1,37,47,Driver only,5512,3.0
Honda,Model_296,Large,27.1,24.9,22.5,18,21,Driver & Passenger,5023,3.3
Audi,Model_297,Sport,34.7,25.5,60.8,26,20,Driver & Passenger,5950,2.1
Volkswagen,Model_298,Compact,37.7,30.4,47.1,35,37,Driver & Passenger,6252,3.8
Mazda,Model_299,Small,26.5,50.6,64.6,31,22,Driver & Passenger,6318,1.8
Volkswagen,Model_300,Small,12.7,41.0,51.0,33,33,Driver & Passenger,6229,1.8
Toyota,Model_301,Van,24.5,12.8,47.4,30,32,Driver only,5732,1.8
Hyundai,Model_302,Sport,39.3,11.8,55.2,32,21,Driver & Passenger,5833,2.9
BMW,Model_303,Midsize,30.3,35.5,21.3,20,41,Driver & Passenger,4630,2.0
Mazda,Model_304,Midsize,34.9,49.9,62.1,23,23,Driver & Passenger,6328,2.7
Nissan,Model_305,Sport,15.3,24.5,20.8,33,34,None,6032,2.5
Honda,Model_306,Compact,43.7,21.1,13.4,26,24,None,6340,4.3
Ford,Model_307,Midsize,23.2,43.7,49.0,25,29,Driver & Passenger,6184,1.9
BMW,Model_308,Van,32.4,37.1,21.8,30,28,None,4196,2.2
BMW,Model_309,SUV,9.2,35.4,52.2,16,37,Driver & Passenger,5718,4.8
Volkswagen,Model_310,Sport,13.1,16.7,54.1,32,22,None,5837,2.0
Hyundai,Model_311,Compact,37.0,17.9,24.5,20,33,Driver & Passenger,4454,4.2
Toyota,Model_312,Compact,43.8,22.7,16.6,36,29,Driver & Passenger,5118,1.6
Hyundai,Model_313,Large,20.2,19.3,38.5,19,36,Driver & Passenger,4006,3.3
Subaru,Model_314,Compact,9.9,53.7,59.2,23,34,Driver only,6436,1.4
Volkswagen,Model_315,Midsize,21.7,10.8,56.9,27,37,Driver & Passenger,5971,2.6
